Cumle;Sinif
Ay ise Alswider (esip geçen) adlı bir ata binmiş  Mani adında aydınlık yüzlü bir oğlandı ;2
Yüzyıllardır yaşamı sona eren binlerce insana yurtluk eden bu alanda ölü gömme törenleri devam ediyordu ;1
Aynı anda binlerce sözcüğün beynimde patladığı anı yaşıyordum ;1
Yüz binlerce insanın yaşadığı şehirde bir insanı arayıp bulma ümidi taşımak hangi mantıkla izah edilebilirdi?;1
Binlerce sesin  görüntünün ortasında en iyi pusula şehirde yaşayan birinin rehberliğidir ;1
Yanımda birileri olmadan  yabancı yüzlere adres sorarak yürümenin ya da otobüslere binmenin bir yararı olmayacaktı ;2
İlk eylemim bir otobüse binmek oldu ;2
Mavimsi beyaz olan  acımaya denk düşen ve binlerce yıldır sanatkarların vazgeçilmezi kalsedondur ;1
Bir şehrin en kalabalık yeridir kadınlar  Binlerce sırat ;1
Kalabalık kaldırımlarda gezinen binlerce insan her an saklanacak yer arayabilirlerdi ;1
Aydın ile Orhan beş atlı faytona binerek Sabir amcanın evinin yolunu tutarlardı ;2
Eğer yaşıyorsa yarın binlerce davacımız var demektir Ayaz ;1
Bir araba veya fayton durur da biner umuduyla kendini caddeye atıverdi ;2
Arabaya binmesi için elimle işaret ettim ;2
Olsa bir türlü olmazsa bin türlüydü artık ;1
Millet arkasından bin türlü laf ediyordu ;1
Kıyıya vardığında  Binmez misiniz?;2
Sudan çıkıp tekneye bindiğimizde tekne pat pat çalıştı ve sahilden ayrıldı ;2
Ömrümde ilk defa tekneye biniyordum  üzerimdeki giysiler sırılsıklam olmuştu ;2
Bekçi Ayaz üzerinde sivil kıyafetleriyle motorlu bisikletine binmiş caddeden geçiyordu ;2
Abadani arabasına binerek gaz verdi ve Ayda’dan daha önde durdu ;2
Keşke arabasına binip konuşsaydın onunla ;2
O ise koşuyor  arabasına biniyor ve ne dedilerse iki katını alıp geliyordu ;2
Aklına bin türlü şey geliyordu ;1
Şair dedim  ama üstadın hayatına bak   Bilen asla emanet ata binmez ;2
Kendisi de bindikten sonra tavana vurdu ;2
Faytonlar ardı ardına yolcu bindiriyor  şehre doğru yola koyuluyordu ;2
Bir faytona doğru yürüdüler ve bindiler ;2
Sen de biliyorsun ki ona insan demek için bin şahit lazım ;1
Burada bir gün  bin gün gibi geliyor bana ;1
Bizi iki atlı faytona bindirip şehir turu attırdılar ;2
Üzerine bineni kendiyle götürüyor ;2
Hani o binlerce kez lanetlesen de bir anını geri getiremeyeceğin günleri ;1
Sonra yaşlı bir kadınla beraber dolmuşa bindi ;2
Geber  adammış  yürü arabaya bin ;2
Yalnız kaldıkça da aklıma bin türlü fikir geliyordu ;1
Şehrin caddeleri baştan sona çınar yapraklarıyla örtülmüştü ve gömütlükteki yapraksız ağaçlar üzerinde binlerce karga vardı ;1
Tam 16 bin lirayı ödüyor ;1
64 bin lirayı ödemek mümkün değil ;1
Bu şirket 11 bin Türk aileyi bunun içinde Alevisi de var Sünnisi de barındırıyor ;1
Allah’a bin şükür bir kişi bile ayrımcılığa uğramamıştır ;1
Kudüs’ün işgal edildiği 1918 yılında da 5 bin kişilik Siyon Birliği İngilizlerin emrindedir ;1
Bu olaylar sonucunda binlerce Musevi Trakya’dan İstanbul’a göçtü ;1
Üzerini değiştirmeden spor kıyafetiyle siyah renkli mercedesine binen Garih  tahminen saat 13 ;2
Biraz ilerde kırmızı renk Ford marka bir otomobile bindiler ;2
Telefon kartı için 150 bin lira eksikti ;1
Eskişehire  oradan Ankara’ya geçiyor  yakalandığı gün Kayseri otobüsüne binerek memleketine doğru yola çıkıyor ;2
Sen bir Çin Hakanlığından  bir porsuk Hakan kadından  binlerce deve yükü altından daha hoşsun ;1
1 Bin li: Yüz fersahtır ;1
Binlerce kılıç havada parlıyordu ;1
Binlerce erkek sesi:  İleri Türk ulusu  ileri ;1
Bu bağıran  haykıran  alkışlayan binlerce cilasın arasından ayrıldılar  dışarıya çıktılar ;1
Eğer böyle ise bir Gültekin'e bin Tang oğlu feda olsun  sözümü geri alırım ;1
Kendileri de bindiler  gürültüye aldırmadan atları sürdüler ;2
Üzerine kimseyi bindirmeyen Başko  ufak oyunlar yapmakla beraber  gene de pek hırçınlaşmamıştı ;2
Atına başka birinin binmesine tahammül edemezdi ;2
Kendisine: Nasıl ata güzel binebiliyor muyum?;2
Bir sıçrayışta Başko'ya bindi  üzerine doğru koşuşan kalabalığı yardı  yıktı  geçti ;2
Gültekin'i sevenlerin  sayanların içinde Çinlilerden bile binlerce kimse vardı ;1
Çadırın çevresinde sayısı bini aşan cenkçi  kaşları çatılmış  elleri kılıçlarında olacağı bekliyorlardı ;1
Baş kaldıran kardeşlerimizin de  küçük kardeşim cihan kahramanı Gültekin ak azman atma binip üzerlerine vardı ;2
Hanlarıyla orman içinde savaşa girdik  burada Gültekin Bayirko'nun ak aygırına binip ileri fırladı ;2
 Dövüştük  kardeşim Gültekin Başko adındaki kır atına binip meydana çıktı ;2
 Gültekin bu kez az yağız atma binerek Edizleri Koşli ganda parça parça etti ;2
Bu savaşı da az yağız atına binerek Gültekin açtı ;2
Sonra öküz atına bindi  dağı  taşı aştı ;2
Sen büyük bir ulussun  sana beni Hakan yapan Tanrıya bin alkış ;1
Ata başka türlü mü binecek?;2
Bu anda da Frederik Barbaros  Balkanlı maskaranın göğsüne binmiş ikisi birden yerde yuvarlanmaya başlamışlardı ;2
Kadı Han güldü:    İki bin varenk?;1
İki bin asker bizi tanıdığına göre az gelir ;1
ingiltere'den kalkıp  Fransa'dan geçen  Marsilya'dan gemilere binen  Sicilya'dan sizi alıp Kıbrıs'a getiren ben tembelim demek?;2
Kraliçe  nefes nefese yanına gelince sordu:    Ata binmesini bilir misin haşmetlu madama?;2
Fakat güzel at  arkasına birisinin daha bindiğini sezer sezmez tırısa kalktı ;2
"Sevdiği kızı tek başına derede yıkanmaya salan; başka erkeklerin atına bindiren nişanlıyı çekiver kuyruğundan ";2
Sultan yürüyerek mi cenk eder  bindiği at kimindir?;2
Sultan bindiği atı kira ile tutar ;2
  Sen kur yapmadan kız  üstüne binmeden kısrak armağan etmezsin adama da ;2
