Cumle;Sinif
Onu bu yüzden suçlamıyordum.;6
Ciddi ifadeler taşıyan yüzlerine baktım.;2
Simmon’un yüz ifadesi dehşet içindeydi.;2
O yüzden aklımda kalmış olacak!;6
Sleat yüzünü ovuşturdu.;2
Fela biraz yüzünü buruşturdu.;2
Ellerimle yüzümü ovuşturdum.;2
Yüzümü ovuşturdum.;2
Yüzüme çarpan ısı dalgalarını hissedebiliyordum.;2
Elodin’in yüzünde bir tebessüm belirdi.;2
Yüzünde endişeli bir ifade belirdi.;2
Serin ellerini yüzüme koydu.;2
Yüzüne hiç dokunma.;2
Başlığının altındaki yüzü gülümsüyordu.;2
Yüzü asık gibiydi.;2
Yüzünde ışıltılı bir tebessüm belirdi.;2
Bitkin yüzündeki ifade pişmanlıkla doluymuş.;2
Bu yüzden tekrar yollara düşmüş.;6
O yüzden doğru olduğunu biliyorum.;6
Üç yüz yıl oldu mu?;1
Yüz elli ikinci sayfayı açtı.;1
Yüzümün kızardığını hissettim.;2
Simmon’un yüz ifadesi sertliğini korudu.;2
Delikanlının yüzü kıpkırmızı kesildi.;2
Devi’nin yüzü biraz kasıldı.;2
Dev hocanın yüzü asıldı.;2
Bunu duyunca yüzümü ekşittim.;2
Belki de yüz yirmi adet vardı.;1
Yüz ifadeleri sertti.;2
O yüzden Tema öğrenmeye başlamış.;6
Yüz farklı tarihi kayıt bulundu.;1
Wilem’in yüzünde halen kuşku görüyordum.;2
Yüzüm biraz kızardı.;2
Geriye kalan mesafeyi yüzmemiz lazım.;4
Yüzüne esrarengiz bir ifade yerleşti.;2
Yüzünü ekşitti.;2
Benim yüzümden uykundan olmanı istemem.;6
Yüzünde esefli bir ifade belirdi.;2
Yüzünü buruşturdu.;2
Yüzü sert, keskin ve duygusuzdu.;2
Bedeni acıyla kasılınca yüzünü ekşitti.;2
Maer’in yüz ifadesi sertliğini korudu.;2
Yüz ifadesi artık öfkeli değildi.;2
Maer’in yüzü asıldı.;2
Yaklaşık dokuz yüz yıl öncesiymiş.;1
Bana baktığında yüzü ifadesizdi.;2
Yüz ifadesi iyice ciddileşmişti.;2
Hep o aptal at yüzünden.;6
Adamın yüzündeki tüm renk kaybolmuştu.;2
Alveron’un yüzü asıldı.;2
Yüzündeki sertliği kaybetmeden gülümsedi.;2
Beni görünce yüzü aydınlandı.;2
Öyleyse yüzüm size ne söylüyor?;2
Meluan gülümsediyse de yüzü kızarmadı.;2
Hayatınız Caudicus yüzünden hala tehlikede.;6
Loş ışığın vurduğu yüzü ciddiydi.;2
Yüzü kızaran Bast boynunu büktü.;2
Yüz elli kilo mu?;1
Yüzünde haşin bir ifade vardı.;2
Yüzünü boyayabilir misin?;3
Yüz ifadesi son derece ciddiydi.;2
Müzisyenler onu yüz sene söyleyeceklerdi.;1
Yüzü asıldı.;2
Utançtan biraz yüzüm kızardı.;2
Yüz ifadesi ciddiydi.;2
Yüzümü ekşittim.;2
İç geçirerek yüzümü ovuşturdum.;2
O yüzden gözünüzü açık tutun.;6
Özür dilercesine yüzünü ekşitti.;2
Yüzümü al bastı.;2
Hepsi yüzüyle güler.;2
Yüzü ifadesiz, elleri hareketsizdi.;2
Yüzü asıldı, feryadı bastı.;2
Yüzünde esefli bir tebessüm vardı.;2
Gözlüğü alıp Jax’in yüzüne oturtmuş.;2
Yüzü her zamanki gibi ifadesizdi.;2
Tam’in yüzü asıldı.;2
Ketan sırasında bu yüzden sendeliyorsun.;6
Yüzünü kullanarak sahiden kaş çattı.;2
Zaten Lethani’yi o yüzden sordum.;6
Şimdi bu yüzden konuşuyoruz.;6
Dedan’ın yüzü çarpıldı.;2
Sanki yüzümdeki bir maskeyi çıkarmıştım.;2
O yüzden on.;6
Ellerini kapadığı yüzünden kanlar boşalıyordu.;6
Ketan’ın tamamındaysa yüzden fazla vardı.;1
Yüzünü okşuyorlar.;2
Felurian’ın yüzü parladı.;2
Felurian yüzüme dokunmak için uzandı.;2
Yüz ifadesi mahcup ama hevesliydi.;2
Yüzümün asıldığını hissettim.;2
Uzanıp yüzümün yanına nazikçe dokundu.;2
Yüzdük ve karnımızı doyurduk.;4
Yüzünün değiştiğini gördüm.;2
Kararlı bir yüzle bana baktı.;2
Yüzüm utançla kızardı.;2
Felurian’ın yüz ifadesi ciddileşti.;2
Yüzümü yüzüne yaklaştırdı.;2
Yüzerken, karnını çileklerle doyururken falan.;4
Yüzüne bakabileceğim kadar geri çekildim.;2
Solgun yüzü neredeyse bembeyaz kesilmişti.;2
Kvothe’nin yüzü ifadesizleşti.;2
Yüzü aydınlandı.;2
Marten’in yüz ifadesi pişmanlıkla doluydu.;2
Şahin yüzlü kemancıya baktım.;2
Sakalı yüzünden hemen tanıyamadım.;6
Gözleri tekrar yüzümü inceledi.;2
Yasalarımız bu yüzden var.;6
Yüzümü işaret ettim.;2
Kılıcın o yüzden mi farklı?;6
Lethani yüzmek gibidir.;4
Yüzü kaskatı kesildi.;2
Yüzümü ekşittim.;2
Vashet’in yüzündeki neşeli ifade kayboldu.;2
Utançtan yüzüm kıpkırmızı kesilmişti.;2
Yüzde seksen, dedi Vashet.;1
Yüzde seksen mi?;1
Bunları o yüzden yaptığımızı sanıyordum.;6
Yüzümü ifadesiz tutmakta zorlandım.;2
Yüzümü hareketsiz tutmak çok zor.;2
Yüzlerimiz sürekli durgun değil.;2
Bu yüzden korkunun pençesindesin.;6
O yüzden dinlemeyeceğim.;6
Kollarınla yüzünü kapatıp dosdoğru koşabilirsin.;2
Ketan’ı bu yüzden mi arıyorsun?;6
  Biraz yüzüm kızardı.;2
 Yüzümü dikkatle inceledi.;2
İki yüz otuz altı, dedi.;1
Bu söz karşısında yüzüm kızardı.;2
Her yüz kişide mi?;1
Sonra yüzü ciddileşti.;2
Beş yüz bebeğim!;1
Yüzündeki kahkahalar kaybolmuştu.;2
Bence bu yüzden öfke dolusunuz.;6
O yüzden ikisini de alacağım.;6
